Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Type de peuplement";"Connaissance de la cause";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";"Précision de la donnée"
2022;21749;"2A";"2A031";"Bastelica";"2022-01-30 16:04:00";50000;;50000;;;;;;;;;;"1";"Probable";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;14637;"66";"66020";"Bolquère";"2022-01-31 00:59:00";900;;;;;;;;;900;;"Non";"6";"Probable";"Involontaire (particulier)";"Oui";;;;;55;1;"E";0;""
2022;15243;"07";"07148";"Malbosc";"2022-01-31 12:44:00";5000;5000;;;;;;;;;;"Non";"4";"Probable";"Malveillance";;;;;;;40;"N";7;""
2022;13509;"83";"83012";"Barjols";"2022-01-31 14:18:00";1000;1000;;;;;;;;;;"Non";"5";"Probable";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;18366;"84";"84119";"Saint-Saturnin-lès-Avignon";"2022-01-31 14:50:00";500;500;;;;;;;;;;;;;;;;;;;;;;;""
2022;6;"85";"85239";"Saint-Maixent-sur-Vie";"2022-01-31 16:01:00";10;0;;10;;;10;0;0;0;"Mesurées";;;;"Involontaire (particulier)";;;;;;;;;;""
2022;15583;"04";"04081";"Esparron-de-Verdon";"2022-01-31 16:18:00";1900;1900;;;;;;;;;;;;"Certaine";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;18404;"84";"84051";"Goult";"2022-01-31 20:21:00";3000;3000;;;;;;;;;;;;"Inconnue";;;;;;;;;;;""
2022;13815;"2A";"2A040";"Bocognano";"2022-01-31 22:51:00";300;;300;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;18405;"84";"84094";"Puyméras";"2022-02-01 02:57:00";10;;10;;;;;;;;;;"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13816;"2A";"2A098";"Coti-Chiavari";"2022-02-01 12:28:00";500;;500;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;13663;"2B";"2B016";"Antisanti";"2022-02-01 14:48:00";1500;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13664;"2B";"2B251";"Prunelli-di-Fiumorbo";"2022-02-01 15:16:00";3000;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13665;"2B";"2B007";"Albertacce";"2022-02-01 15:23:00";493700;373200;120500;;;;;;;;;;"4";"Probable";"Involontaire (travaux)";;;;;;;;;;""
2022;13669;"2B";"2B207";"Penta-di-Casinca";"2022-02-01 15:44:00";222400;180000;42400;;;;;;;;;;"2";"Certaine";"Malveillance";"Oui";;;;;;;;;""
2022;15634;"48";"48148";"Saint-Étienne-Vallée-Française";"2022-02-01 16:20:00";1500;;1500;;;;;;;;;"Non";"3";"Certaine";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;18409;"84";"84093";"Puget";"2022-02-01 16:45:00";1000;1000;;;;;;;;;;;"4";"Inconnue";;;;;;;;;;;""
2022;19591;"13";"13005";"Aubagne";"2022-02-01 17:41:00";20;20;;;;;;;;;;"Non";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;19558;"13";"13051";"Lançon-Provence";"2022-02-01 18:06:00";22600;20000;2600;;;;;;;;;"Non";"1";"Inconnue";;"Oui";;;;;;;;;""
2022;13817;"2A";"2A154";"Marignana";"2022-02-01 18:09:00";200;;200;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;13671;"2B";"2B046";"Cagnano";"2022-02-01 18:56:00";600;;;;;;;;;;;;;"Probable";"Malveillance";;;;;;;;;;""
